time,semitone
10080,62
10320,62
10440,62
10800,62
10920,61
11280,57
11400,59
11760,57
12960,57
13080,57
13320,59
13680,61
13800,61
14160,57
14280,59
14400,61
15120,57
15240,64
15600,62
15840,61
16080,62
16200,61
16560,57
16800,57
17040,59
17520,64
17640,62
17760,61
18000,62
18120,61
19200,62
19680,62
19920,62
20040,62
20400,62
20520,61
20880,57
21000,59
21360,57
22560,57
22680,57
22920,59
23280,61
23400,61
23760,57
23880,59
24120,61
24240,61
24840,57
24960,64
25200,62
25320,61
25680,62
25800,61
26400,57
26640,57
26760,64
27120,62
27240,61
27600,62
27720,61
28800,62
30240,61
30720,57
38880,62
39120,62
39240,62
39600,62
39720,61
40080,57
40200,59
40560,57
41760,57
41880,57
42120,59
42480,61
42600,61
42960,57
43080,59
43200,61
44040,57
44160,64
44400,62
44520,61
44880,62
45000,61
45600,57
45840,57
45960,64
46320,62
46440,61
46800,62
46920,61
48000,62
50880,57
51120,57
51360,59
51600,61
53040,61
53280,66
53520,68
54960,69
55200,59
55440,61
58560,57
58800,57
59040,59
59280,61
60720,61
60960,66
61200,68
62640,69
62880,59
63120,61
64080,61
64440,59
64560,61
64920,59
65040,61
65280,57
69120,61
69360,61
69600,61
69840,57
69960,59
70320,61
70560,59
70800,57
72000,61
72240,57
72360,59
72600,57
72960,56
73800,57
73920,62
74040,61
74280,57
74520,59
75600,61
76800,62
79200,59
79440,57
79560,59
79800,57
81120,59
81360,57
81480,59
81720,60
81960,59
82200,57
84000,57
84480,64
87840,57
88320,64
89040,62
89520,61
90240,62
90480,64
90960,66
91440,64
98880,57
99120,57
99360,59
99600,61
101040,61
101280,66
101520,68
102960,69
103200,59
103440,61
106560,57
106800,57
107040,59
107280,61
108720,61
108960,66
109200,68
110640,69
110880,59
111120,61
112080,61
112440,59
112560,61
112920,59
113040,61
113280,62
113520,62
113760,62
114000,62
114240,62
114480,62
114720,62
114960,62
115200,64
115920,62
116400,61
116880,57
117120,64
117840,62
118320,61
118560,57
119040,64
119760,62
120240,61
120720,57
120960,59
121440,61
121680,57
122880,64
123600,62
124080,61
124560,57
124800,64
125520,62
126000,61
126240,57
126720,64
127440,62
127920,61
128400,57
128640,59
129120,61
129360,57
131040,62
131280,62
131400,62
131760,62
131880,61
132240,57
133920,59
134400,57
