time,semitone
12960,59
13260,59
13440,59
13740,59
13920,64
14400,59
14760,58
16740,56
16800,57
17160,57
17280,57
17580,57
17760,63
18240,57
18540,56
20520,58
20640,59
20940,59
21120,59
21420,59
21600,64
22080,59
22380,58
22860,58
23040,58
23340,58
23520,63
24000,58
24300,57
24780,57
24960,57
25260,57
25500,63
25920,57
26220,56
28320,59
28620,59
28800,59
29100,59
29280,64
29760,59
30120,58
32100,56
32160,57
32520,57
32640,57
32940,57
33120,63
33600,57
33900,56
35880,58
36000,59
36300,59
36480,59
36780,59
36960,64
37440,68
37740,66
38220,58
38400,58
38700,58
38940,66
39360,58
39660,57
40140,57
40320,57
40620,57
40860,63
41280,66
41580,64
43620,59
43680,61
44640,64
45120,61
45420,63
47580,59
48060,59
48300,59
48480,64
48960,59
49260,61
51300,59
51360,61
52320,64
52800,61
53100,63
53580,63
53760,63
54060,63
54240,66
54720,63
55020,64
58380,66
58620,61
58920,64
62760,68
62880,69
63360,64
63900,64
64320,64
64620,61
64780,62
65320,64
65620,69
66640,68
66760,69
67240,64
67720,64
68200,64
68440,61
68620,62
69100,64
69480,71
70500,68
70560,69
71580,64
72060,64
72360,64
72480,66
73500,69
73920,64
73980,66
74220,64
78160,68
78220,69
78700,64
79240,64
79720,64
80020,61
80200,62
80680,64
80980,69
82120,69
82600,64
83080,64
83560,64
83800,61
84040,62
84460,64
84760,71
85840,68
85900,69
86440,64
86920,64
87700,64
87880,73
88120,74
88360,73
88840,69
89320,66
89620,71
92040,69
92200,69
92500,69
92680,69
93160,69
93520,69
99640,69
99820,69
100180,69
100360,69
100840,69
101080,69
116680,59
116980,59
117160,59
117400,59
117640,64
118060,59
118420,58
120400,56
120460,57
120820,57
121000,57
121300,57
121420,63
121900,57
122260,56
124240,58
124360,59
124660,59
124840,59
125080,59
125260,64
125740,68
126040,66
126520,58
126700,58
127020,58
127260,66
127680,58
128040,57
128460,57
128680,57
128980,57
129160,63
129580,66
129880,64
131920,59
131980,61
133020,64
133500,61
133740,63
135900,59
136360,59
136660,59
136840,64
137260,59
137560,61
139600,59
139660,61
140700,64
141180,61
141420,63
141900,63
142380,63
142620,66
143100,63
143340,64
146760,66
146940,61
147240,64
151140,68
151200,69
152200,64
152680,64
152980,61
153140,62
153620,64
153920,69
155000,68
155060,69
155540,64
156020,64
156500,64
156800,61
156980,62
157460,64
157760,71
158780,68
158900,69
159380,64
159860,64
160340,64
160640,64
160820,66
161300,69
161780,69
162200,64
162260,66
162560,64
166460,68
166580,69
167060,64
167540,64
168020,64
168320,61
168500,62
168980,64
169280,69
170420,69
170900,64
171380,64
171860,64
172100,61
172340,62
172820,64
173120,71
174200,68
174260,69
174740,64
175220,64
176000,64
176180,73
176480,74
176660,73
177140,69
177620,66
177920,71
180320,69
180500,69
180860,69
180980,69
181520,69
181820,69
197180,68
197300,69
197780,64
198260,64
198740,64
199040,61
199220,62
199700,64
200000,69
201140,69
201620,64
202100,64
202580,64
202820,61
203060,62
203540,64
203840,71
204920,68
204980,69
205460,64
205940,64
206720,64
206900,73
207200,74
207380,73
207860,69
208340,66
208640,71
211040,69
211220,69
211580,69
211700,69
212240,69
212540,69
214880,69
215060,69
215420,69
215540,69
216080,69
216380,69
218720,69
218900,69
219260,69
219380,69
219920,69
220220,69
222560,69
222740,69
223100,69
223220,69
223760,69
224060,69
226400,69
226580,69
226940,69
227060,69
227600,69
227900,69
230240,69
230420,69
230780,69
230900,69
231440,69
231740,69
234080,69
234260,69
234620,69
234740,69
235280,69
235580,69
237920,69
238100,69
238460,69
238580,69
239120,69
239420,69
241760,69
241940,69
242300,69
242420,69
242960,69
243260,69
245600,69
245780,69
246140,69
246260,69
246800,69
247100,69
249440,69
249620,69
249980,69
250100,69
250640,69
250940,69
253280,69
253460,69
253820,69
253940,69
254480,69
254780,69
257120,69
257300,69
257660,69
257780,69
258320,69
258620,69
260960,69
261140,69
261500,69
261620,69
262160,69
262460,69
264800,69
264980,69
265340,69
265460,69
266000,69
266300,69
268640,69
268820,69
269180,69
269300,69
269840,69
270140,69
272480,69
272660,69
273020,69
273140,69
273680,69
273980,69
