time,semitone
3840,53
4800,53
5760,53
6720,53
7680,53
8640,53
12960,65
13200,64
13320,65
14160,57
14400,58
14640,69
15120,67
15600,64
15840,67
16080,64
16320,60
16800,65
17040,64
17160,65
18000,67
18240,69
18480,70
18720,69
18960,67
20520,60
20640,65
20880,64
21000,65
21240,67
21480,69
21720,65
21960,72
22560,65
22800,64
22920,65
23160,67
23400,69
23640,65
23880,62
24360,60
24480,65
24720,64
24840,65
25080,67
25320,69
25560,65
25800,72
27240,60
27360,60
27480,60
27600,70
27840,69
28200,69
28320,69
28440,69
28560,69
28800,67
29160,67
29280,67
29400,67
29520,70
29760,69
30120,69
30240,69
30360,69
30480,69
30720,67
31080,65
31200,65
31320,65
31440,65
31680,74
32040,65
32160,65
32280,65
32400,65
32640,72
33000,65
33120,65
33240,65
33360,65
33600,70
33840,69
34080,67
34320,65
34560,69
35040,67
35280,70
35520,69
35880,69
36000,69
36120,69
36240,69
36480,67
36840,67
36960,67
37080,67
37200,70
37440,69
37800,69
37920,69
38040,69
38160,69
38400,67
38760,65
38880,65
39000,65
39120,65
39360,74
39720,65
39840,65
39960,65
40080,65
40320,72
40680,65
40800,65
40920,65
41040,65
41280,70
41520,69
41760,67
42000,65
42240,69
42720,67
43200,65
45120,65
45360,67
45600,69
45840,67
46560,65
46800,65
47520,65
47760,64
47880,65
48720,57
48960,58
49200,69
49680,67
50160,64
50400,67
50640,64
50880,60
51360,65
51600,64
51720,65
52560,65
52800,69
53040,70
53280,69
53520,67
55200,65
55440,64
55560,65
55800,67
56040,69
56280,65
56520,72
57120,65
57360,64
57480,65
57720,67
57960,69
58200,65
58440,62
59040,65
59280,64
59400,65
59640,67
59880,69
60120,65
60360,72
61800,60
61920,60
62040,60
62160,70
62400,69
62760,69
62880,69
63000,69
63120,69
63360,67
63720,67
63840,67
63960,67
64080,70
64320,69
64680,69
64800,69
64920,69
65040,69
65280,67
65640,65
65760,65
65880,65
66000,65
66240,74
66600,65
66720,65
66840,65
66960,65
67200,72
67560,65
67680,65
67800,65
67920,65
68160,70
68400,69
68640,67
68880,65
69120,69
69600,67
69840,70
70080,69
70440,69
70560,69
70680,69
70800,69
71040,67
71400,67
71520,67
71640,67
71760,70
72000,69
72360,69
72480,69
72600,69
72720,69
72960,67
73320,65
73440,65
73560,65
73680,65
73920,74
74280,65
74400,65
74520,65
74640,65
74880,72
75240,65
75360,65
75480,65
75600,65
75840,70
76080,69
76320,67
76560,65
76800,69
77280,67
77760,65
85440,70
85800,69
86160,67
86400,65
87120,65
87240,65
87360,69
87720,67
88080,65
88320,67
91560,62
91680,62
91800,62
91920,72
92160,71
92520,71
92640,71
92760,71
92880,71
93120,69
93480,69
93600,69
93720,69
93840,72
94080,71
94440,71
94560,71
94680,71
94800,71
95040,69
95400,67
95520,67
95640,67
95760,67
96000,76
96360,67
96480,67
96600,67
96720,67
96960,74
97320,67
97440,67
97560,67
97680,67
97920,72
98160,71
98400,69
98640,67
98880,71
99360,69
99600,72
99840,71
100200,71
100320,71
100440,71
100560,71
100800,69
101160,69
101280,69
101400,69
101520,72
101760,71
102120,71
102240,71
102360,71
102480,71
102720,69
103080,67
103200,67
103320,67
103440,67
103680,76
104040,67
104160,67
104280,67
104400,67
104640,74
105000,67
105120,67
105240,67
105360,67
105600,72
105840,71
106080,69
106320,67
106560,71
106920,62
107040,62
107160,62
107280,72
107520,71
107880,71
108000,71
108120,71
108240,71
108480,69
108840,69
108960,69
109080,69
109200,72
109440,71
109800,71
109920,71
110040,71
110160,71
110400,69
110760,67
110880,67
111000,67
111120,67
111360,76
111720,67
111840,67
111960,67
112080,67
112320,74
112680,67
112800,67
112920,67
113040,67
113280,72
113520,71
113760,69
114000,67
114240,71
114720,69
114960,72
115200,71
115560,71
115680,71
115800,71
115920,71
116160,69
116520,69
116640,69
116760,69
116880,72
117120,71
117480,71
117600,71
117720,71
117840,71
118080,69
118440,67
118560,67
118680,67
118800,67
119040,76
119400,67
119520,67
119640,67
119760,67
120000,74
120360,67
120480,67
120600,67
120720,67
120960,72
121200,71
121440,69
121680,67
121920,71
122400,69
122880,67
124800,67
125040,69
125280,71
125520,69
126240,67
126480,67
128640,67
128880,69
129120,71
129360,69
130080,67
130560,67
