time,semitone
42240,69
42480,68
42960,64
43440,59
43920,61
44640,57
44880,61
45360,64
46080,69
46320,68
46800,64
47280,59
47760,61
48000,57
49920,69
50160,68
50640,64
51120,59
51600,61
52320,57
52560,61
53040,64
53760,69
54000,68
54480,64
54960,59
55200,59
55440,61
55680,57
57840,64
58080,66
58320,66
58560,68
58800,66
59040,64
59280,66
59520,68
59760,64
60000,64
60240,63
60480,64
60960,66
61920,66
62160,66
62400,64
62640,66
62880,66
63120,64
63360,61
65760,66
66000,66
66240,68
66480,66
66720,64
66960,66
67200,68
67440,64
67680,64
67920,63
68160,64
68640,66
69120,56
69360,57
70560,57
70800,59
72720,59
72960,61
73440,63
73680,64
74160,61
74880,68
75840,66
76800,69
77040,68
77520,64
78000,59
78480,61
79200,57
79440,61
79920,64
80640,69
80880,68
81360,64
81840,59
82320,61
82560,57
84480,69
84720,68
85200,64
85680,59
86160,61
86880,57
87120,61
87600,64
88320,69
88560,68
89040,64
89520,59
90000,61
90240,57
92640,66
92880,66
93120,68
93360,66
93600,64
93840,66
94080,68
94320,64
94560,64
94800,63
95040,64
95520,66
96480,66
96720,66
96960,64
97200,66
97440,66
97680,64
97920,61
100080,66
100320,66
100560,66
100800,68
101040,66
101280,64
101520,66
101760,68
102000,64
102240,64
102480,63
102720,64
103200,66
103680,66
104160,68
104400,69
104880,66
105360,71
107280,68
107400,69
107520,71
107760,71
108000,71
108240,71
108720,69
108960,68
109200,66
109680,66
109920,64
110160,66
111120,68
111240,69
111360,71
111600,71
111840,71
112080,71
112560,69
112800,68
113040,66
114960,68
115080,69
115200,71
115440,71
115680,71
115920,71
116400,69
116640,68
116880,66
117360,64
117600,66
117840,68
118320,64
119040,64
119280,69
119520,68
120000,64
120480,61
120960,69
121200,68
121680,64
122400,61
122880,64
125760,61
126000,69
126240,68
126480,61
126720,64
129600,69
129840,68
130080,64
130320,66
130560,68
133440,69
133680,68
133920,64
134160,66
134400,64
157200,68
157320,69
157440,71
157680,71
157920,71
158160,71
158640,69
158880,68
159120,66
159600,66
159840,64
160080,66
161040,68
161160,69
161280,71
161520,71
161760,71
162000,71
162480,69
162720,68
162960,66
164880,68
165000,69
165120,71
165360,71
165600,71
165840,71
166320,69
166560,68
166800,66
167280,64
167520,66
167760,68
168240,68
168960,64
169200,69
169440,68
169680,64
169920,61
170880,69
171120,69
171360,71
171840,73
172080,71
172800,71
174720,73
175680,71
176640,68
176760,69
176880,71
177120,71
177360,73
177840,71
178080,71
178320,66
180240,68
180360,69
180480,71
180720,71
180960,71
181200,71
181680,69
181920,68
182160,66
182640,64
182880,66
183120,68
184320,69
184560,68
185040,64
185520,61
186240,69
186480,68
186960,64
187440,61
188160,64
191040,61
191160,69
191400,68
191640,64
191880,61
192120,64
194880,69
195120,68
195360,64
195600,66
195840,68
198720,61
198840,69
199080,68
199320,64
199560,61
199800,64
202560,69
202800,68
203040,64
203280,66
203520,68
206400,61
206520,69
206760,68
207000,64
207240,61
207480,64
214080,66
214320,64
216000,66
216960,66
217680,64
