time,semitone
6960,64
7200,67
7440,64
7680,67
7920,64
8400,67
8880,69
9600,64
14640,57
14880,60
15120,57
15360,60
15840,57
16080,60
16560,62
17280,64
17760,65
18240,64
18720,62
22320,72
22560,72
22800,72
23040,71
23520,72
23760,71
24240,72
24960,71
25440,72
26160,71
26640,72
26880,74
30000,69
30240,72
30480,69
30720,72
31200,69
31440,72
31920,74
32640,74
32700,76
33120,74
33600,72
34080,74
34140,76
34560,74
35040,72
35520,72
36000,74
36480,76
39360,77
39840,76
40320,77
43200,77
44160,76
46080,72
47040,74
47160,76
48000,74
50400,72
50880,72
51360,74
51840,76
54720,77
55200,76
55680,77
58560,77
59520,76
61440,72
62400,74
62520,76
63360,74
72720,64
72960,67
73200,64
73440,67
73680,64
73920,67
74160,69
74880,64
79920,57
80160,60
80400,57
80640,60
81120,57
81360,60
81840,62
82560,64
83040,65
83520,64
84000,62
84480,62
85200,64
87600,72
87840,72
88080,72
88320,71
88800,72
89040,71
89520,72
90240,71
90720,72
91440,71
91920,72
92160,74
95280,69
95520,72
95760,69
96000,72
96480,69
96720,72
97200,74
97920,74
97980,76
98400,74
98880,72
99360,74
99420,76
99840,74
100320,72
100800,72
101280,74
101760,76
104640,77
105120,76
105600,77
108480,77
109440,76
111360,72
112320,74
112380,76
113280,74
115680,72
116160,72
116640,74
117120,76
117600,74
117840,72
118560,69
120000,77
120480,76
120960,77
123840,77
124800,76
126720,76
127680,72
128160,74
128640,74
159840,81
159840,76
160080,79
160080,74
160560,81
160560,76
160800,79
160800,74
161280,74
161400,76
161760,76
162240,76
162720,76
163200,74
163320,76
164640,71
165120,71
167520,81
167520,76
167760,79
167760,74
168240,81
168240,76
168480,79
168480,74
168960,74
169080,76
169200,76
169440,76
169680,76
169920,76
170400,76
170760,74
170880,76
172320,71
172800,71
173280,71
173760,71
174240,71
174720,72
174840,74
175200,72
175680,71
176160,72
176880,69
177600,69
178080,72
178560,74
178680,75
179040,74
179520,72
180000,72
180120,74
184800,72
185280,72
185760,74
186240,76
189120,77
189600,76
190080,77
192960,77
193920,76
195840,72
196800,74
196860,76
197760,74
200160,72
200640,72
201120,74
201600,76
202080,74
202320,72
203040,69
204480,77
204960,76
205440,77
208320,77
209280,76
211200,72
212160,74
212280,76
213120,74
219360,72
219840,72
220320,74
220800,76
223680,77
224160,76
224640,77
227520,77
228480,76
230400,72
231360,74
231480,76
232320,74
234720,72
235200,72
235680,74
236160,76
236640,74
236880,72
237600,69
239040,77
239520,76
240000,77
242880,77
243840,76
245760,72
246720,74
246840,76
247680,74
250080,72
250560,72
251040,74
251520,76
254400,77
254880,76
255360,77
258240,77
259200,76
261120,72
262080,74
262200,76
263040,74
268680,74
268800,76
269760,74
