time,semitone
1920,48
2400,48
2880,48
3360,48
3840,48
5640,50
5760,55
6240,50
6720,48
6960,50
7440,47
7560,48
7680,48
7800,47
7920,48
8160,48
8280,48
8400,50
8520,50
8880,67
10800,67
11040,62
11280,67
12720,67
12960,71
13320,67
15360,69
15600,67
17520,62
17760,62
18120,60
18240,62
18360,60
18600,62
18960,60
19080,59
19200,59
19440,59
19680,57
19920,57
20040,59
21360,62
21600,62
21960,60
22080,62
22200,60
22440,62
22800,60
22920,59
23040,59
23280,59
23520,57
23760,57
23880,59
24480,55
24600,57
24720,59
24960,57
25200,57
25440,57
25680,55
25920,57
26400,55
26520,57
26640,59
26880,57
27120,57
27360,57
27600,59
27840,55
28320,55
28440,57
28560,59
28800,57
29040,59
29280,57
29520,59
29760,57
30480,55
30720,67
30960,67
31080,67
31320,69
31560,69
32160,67
32280,67
32400,71
32520,71
32640,69
32880,67
33120,67
33360,66
33480,67
34080,67
34200,67
34320,71
34440,71
34560,69
34800,67
35040,67
35280,66
35400,67
36000,67
36120,66
36240,67
36360,74
36960,67
37080,66
37200,67
37320,74
38040,62
38160,62
38400,72
38640,71
38760,69
39000,67
39240,69
39840,67
39960,67
40080,71
40200,71
40320,69
40560,67
40800,67
41040,66
41160,67
41760,67
41880,67
42000,71
42120,71
42240,69
42480,67
42720,67
42960,66
43080,67
43920,74
44160,74
44400,67
44520,67
44880,74
45120,74
45360,67
45480,67
45960,62
46080,71
46320,71
46440,69
46680,71
46920,69
47160,69
47400,67
50160,62
50400,62
50760,60
50880,62
51000,60
51240,62
51600,60
51720,59
51840,59
52080,59
52320,57
52560,57
52680,59
54000,62
54240,62
54600,60
54720,62
54840,60
55080,62
55440,60
55560,59
55680,59
55920,59
56160,57
56400,57
56520,59
57120,55
57240,57
57360,59
57600,57
57840,57
58080,57
58320,55
58560,57
58800,64
59160,57
59280,59
59520,57
59760,57
60000,57
60240,59
60480,55
60960,55
61080,57
61200,59
61440,57
61680,59
61920,57
62160,59
62400,60
63120,55
63360,67
63600,67
63720,67
63960,69
64200,69
64800,67
64920,67
65040,71
65160,71
65280,69
65520,67
65760,67
66000,66
66120,67
66720,67
66840,67
66960,71
67080,71
67200,69
67440,67
67680,67
67920,66
68040,67
68640,67
68760,66
68880,67
69000,74
69600,67
69720,66
69840,67
69960,74
70680,62
70800,62
71040,72
71280,71
71400,69
71640,67
71880,69
72480,67
72600,67
72720,71
72840,71
72960,69
73200,67
73440,67
73680,66
73800,67
74400,67
74520,67
74640,71
74760,71
74880,69
75120,67
75360,67
75600,66
75720,67
76560,74
76800,74
77040,67
77160,67
77520,74
77760,74
78000,67
78120,67
78600,62
78720,71
78960,71
79080,69
79320,71
79560,69
79800,69
80040,67
88800,71
89040,69
89760,69
90000,67
92640,71
92880,69
93600,74
93840,67
95520,67
95760,74
97920,55
98400,50
98880,48
99120,50
99600,47
99720,48
99840,48
99960,47
100080,48
100320,48
100440,48
100560,50
100680,50
101040,67
101160,67
101760,55
102240,50
102720,48
102960,50
103440,47
103560,48
103680,48
103800,47
103920,48
104160,48
104280,48
104400,50
104520,50
105120,67
105240,67
105360,71
105480,71
105600,69
105840,67
106080,67
106320,66
106440,67
107040,67
107160,67
107280,71
107400,71
107520,69
107760,67
108000,67
108240,66
108360,67
108960,67
109080,66
109200,67
109320,74
109920,67
110040,66
110160,67
110280,74
111000,62
111120,62
111360,72
111600,71
111720,69
111960,67
112200,69
112800,67
112920,67
113040,71
113160,71
113280,69
113520,67
113760,67
114000,66
114120,67
114720,67
114840,67
114960,71
115080,71
115200,69
115440,67
115680,67
115920,66
116040,67
116880,74
117120,74
117360,67
117480,67
117840,74
118080,74
118320,67
118440,67
118920,62
119040,71
119280,71
119400,69
119640,71
119880,69
120120,69
120360,71
120480,67
120600,67
120720,71
120840,71
120960,69
121200,67
121440,67
121680,66
121800,67
122400,67
122520,67
122640,71
122760,71
122880,69
123120,67
123360,67
123600,66
123720,67
125520,74
125760,67
126720,72
126960,71
127080,69
127320,67
127560,69
128160,67
128280,67
128400,71
128520,71
128640,69
128880,67
129120,67
129360,66
129480,67
130080,67
130200,67
130320,71
130440,71
130560,69
130800,67
131040,67
131280,66
131400,67
132240,74
132480,74
132720,72
132840,72
133200,74
133440,72
133680,67
133800,67
134280,62
134400,71
134640,71
134760,69
135000,71
135240,69
135480,69
135720,67
136800,71
137280,69
137760,67
138240,67
138720,71
139200,69
139680,67
140160,67
140640,71
141120,69
141600,67
142080,72
142440,71
142800,69
143280,67
143760,67
144480,71
144960,69
145440,67
145920,67
146400,71
146880,69
147360,67
147840,67
148320,71
148800,69
149280,67
149760,72
150120,71
150480,69
150960,67
151440,67
151680,55
152160,50
152640,48
152880,50
153360,47
153480,48
153600,48
153720,47
153840,48
154080,48
154200,48
154320,50
154440,50
155520,55
156000,50
156480,48
156720,50
157200,47
157320,48
157440,48
157560,47
157680,48
157920,48
158040,48
158160,50
158280,50
