time,semitone
17040,72
39840,69
40320,76
41040,76
41760,76
42240,76
42960,76
44160,76
44640,74
44880,72
45360,74
46080,76
46800,79
47520,76
49440,71
55200,69
55680,76
56400,76
57120,76
57600,76
59040,72
59520,76
60000,74
60480,72
60960,74
61920,76
62640,79
63360,76
70560,79
71040,81
71760,79
72480,76
72960,74
73680,72
74880,81
75360,79
75840,76
76320,74
77280,76
78000,74
78720,76
85920,72
86400,81
87120,79
87840,76
88320,74
89040,72
90240,81
90720,79
90960,76
91680,76
92640,79
93360,76
94080,76
101280,72
101760,79
102480,77
103200,75
103680,75
104400,72
105600,79
106320,77
106920,75
107520,74
108960,74
110280,74
111360,74
116160,72
117120,79
117840,77
118560,75
119040,75
119760,72
120960,79
121680,77
122280,75
122880,79
123600,79
124320,79
125280,79
126000,77
126720,79
130560,81
131520,79
132480,76
133440,72
134400,74
134880,72
135120,74
135600,72
136080,74
136800,72
137280,74
137760,72
138240,74
139200,74
139680,72
139920,74
140520,72
141120,74
141600,72
142080,76
143040,76
143520,74
143760,76
144480,74
144960,76
145440,74
145920,76
146400,72
146880,72
147360,72
147840,81
148080,79
148560,76
149040,74
149760,74
150720,74
151200,72
151440,74
152160,72
152640,74
153120,72
153600,74
154560,74
155040,72
155280,74
155880,72
156480,74
156960,72
157440,76
158400,76
158880,74
159120,76
159840,74
160320,76
160800,74
161280,76
161760,72
162240,72
162720,72
163200,81
163440,79
163920,76
164400,74
165120,74
235680,78
236160,78
236880,78
237600,78
238080,78
238800,78
240000,82
240720,80
241320,78
241920,82
243360,79
244680,74
245760,82
251040,78
251520,78
252240,78
252960,78
253440,78
254160,78
254880,78
255360,78
256080,78
256680,80
257280,82
258000,82
258720,82
259680,82
260400,80
261120,82
264960,87
265920,84
266880,82
267840,79
268800,75
269280,74
269520,75
270000,74
270480,75
271200,74
271680,75
272160,74
272640,75
273600,75
274080,74
274320,75
274920,74
275520,75
276000,74
276480,77
277440,77
277920,75
278160,77
278880,75
279360,77
279840,75
280320,77
280800,75
281280,75
281760,75
282240,84
282480,82
282960,79
283440,77
284160,75
285120,75
285600,74
286080,75
286560,74
287040,75
287520,74
288000,75
288960,75
289440,74
289680,75
290280,74
290880,75
291360,74
291840,77
292800,77
293280,75
293520,77
294240,75
294720,77
295200,75
295680,77
296160,75
296640,75
297120,75
297600,84
297840,82
298320,79
298800,77
299520,75
300000,74
300240,75
300720,74
301200,75
301920,74
302400,75
302880,74
303360,75
304320,75
304800,74
305040,75
305640,74
306240,75
306720,74
307200,77
308160,77
308640,75
308880,77
309600,75
310080,77
310560,75
311040,77
311520,75
312000,75
312480,75
312960,84
313200,82
313680,79
314160,77
314880,75
315840,75
316320,74
316800,75
317280,74
317760,75
318240,74
318720,75
319680,75
320160,74
320400,75
321000,74
321600,75
322080,74
322560,77
323520,77
324000,75
324240,77
324960,75
325440,77
325920,75
326400,77
326880,75
327360,75
327840,75
328320,84
328560,82
329040,79
329520,77
330240,75
330720,74
330960,75
331440,74
331920,75
332640,74
333120,75
333600,74
334080,75
335040,75
335520,74
335760,75
336360,74
336960,75
337440,74
337920,77
338880,77
339360,75
339600,77
340320,75
340800,77
341280,75
341760,77
342240,75
342720,75
343200,75
343680,84
343920,82
344400,79
344880,77
345600,75
349920,75
350400,75
350880,75
351360,84
351600,82
352080,79
352560,77
353280,77
354720,77
